truck_id,cargo_id,origin,destination,distance_km,truck_type,total_capacity_tons,available_capacity_tons,cargo_type,cargo_weight_tons,truck_departure_hour,cargo_pickup_hour,time_gap_hours,route_similarity,capacity_fit,driver_rating,on_time_rate,cancel_rate,route_deviation_rate,price_per_km_ton,quoted_price_inr,successful_match
T10034,C20034,Chennai,Hyderabad,630,Tata 407,3.1,0.53,FMCG,0.36,18,15,3.45,0.857,1.0,4.25,0.945,0.055,0.025,0.87,275,0
T10035,C20035,Bengaluru,Mumbai,980,Tata 407,3.48,1.41,Electronics,1.17,8,8,0.0,0.991,1.0,3.85,0.925,0.049,0.025,0.46,523,1
T10036,C20036,Bengaluru,Mumbai,980,20FT,9.55,0.73,Pharma,0.75,12,13,0.29,0.9,0.979,4.36,0.85,0.011,0.007,1.22,896,1
T10037,C20037,Hyderabad,Chennai,630,LCV,2.06,0.73,Electronics,0.21,16,12,5.38,1.0,1.0,4.96,0.906,0.114,0.045,0.93,294,1
T10038,C20038,Delhi,Jaipur,280,LCV,3.79,2.54,Pharma,1.66,3,2,0.0,0.87,1.0,4.58,0.919,0.004,0.069,1.03,477,1
T10039,C20039,Mumbai,Pune,150,20FT,9.28,6.85,Pharma,3.42,22,21,1.2,0.884,1.0,4.12,0.817,0.056,0.004,1.02,523,0
T10040,C20040,Kolkata,Bhubaneswar,440,32FT,17.51,5.85,Furniture,3.57,2,0,3.25,0.962,1.0,3.84,0.842,0.022,0.077,1.34,2101,1
T10041,C20041,Hyderabad,Bengaluru,570,Tata 407,4.22,1.96,Pharma,1.04,0,0,0.73,0.891,1.0,4.36,0.908,0.042,0.058,0.97,575,1
T10042,C20042,Jaipur,Ahmedabad,670,Tata 407,4.04,1.58,FMCG,0.62,3,0,3.05,0.988,1.0,3.5,0.684,0.046,0.037,0.71,295,1
T10043,C20043,Bengaluru,Mumbai,980,20FT,7.29,4.73,Pharma,3.43,9,7,1.75,0.933,1.0,4.82,0.812,0.025,0.021,1.4,4722,1
T10044,C20044,Delhi,Jaipur,280,Tata 407,4.69,0.88,Auto Parts,0.53,1,0,1.93,1.0,1.0,5.0,0.933,0.126,0.028,0.91,137,1
T10045,C20045,Ahmedabad,Mumbai,530,LCV,2.25,1.62,E-commerce Parcels,1.0,20,20,0.0,0.977,1.0,4.31,0.974,0.075,0.072,0.45,239,1
T10046,C20046,Ahmedabad,Mumbai,530,17FT,5.46,3.81,FMCG,1.63,13,16,4.79,0.891,1.0,4.35,0.921,0.164,0.025,1.15,995,1
T10047,C20047,Chennai,Hyderabad,630,20FT,8.18,5.71,Furniture,2.23,9,12,1.87,0.897,1.0,4.55,0.926,0.006,0.042,1.08,1523,1
T10048,C20048,Mumbai,Bengaluru,980,Tata 407,4.9,1.54,Auto Parts,1.36,9,9,0.1,0.991,1.0,4.41,0.962,0.046,0.022,1.12,1484,1
T10049,C20049,Chennai,Hyderabad,630,Tata 407,4.56,2.98,Furniture,1.0,21,21,0.0,0.908,1.0,4.63,0.914,0.052,0.016,1.18,741,1
T10050,C20050,Jaipur,Delhi,280,32FT,14.09,5.07,Pharma,5.13,23,21,2.54,0.994,0.989,3.92,0.977,0.09,0.015,0.68,971,0
T10051,C20051,Delhi,Bengaluru,2150,17FT,6.37,1.53,Textiles,1.2,15,15,0.0,0.966,1.0,5.0,0.834,0.105,0.038,0.7,1824,0
T10052,C20052,Kolkata,Delhi,1500,Tata 407,3.31,1.22,E-commerce Parcels,0.95,21,23,1.88,0.95,1.0,4.54,0.886,0.066,0.049,1.12,1598,0
T10053,C20053,Mumbai,Delhi,1400,40FT,21.62,3.17,E-commerce Parcels,2.71,2,5,3.49,1.0,1.0,4.62,0.932,0.018,0.058,0.7,2642,1
T10054,C20054,Chennai,Bengaluru,350,40FT,18.67,3.67,FMCG,2.35,6,7,0.4,0.93,1.0,4.24,0.862,0.036,0.015,1.23,1014,1
T10055,C20055,Bengaluru,Mumbai,980,20FT,9.25,3.6,Electronics,1.65,9,7,2.55,0.931,1.0,4.56,0.842,0.094,0.029,0.95,1536,1
T10056,C20056,Jaipur,Delhi,280,Tata 407,3.44,1.8,Furniture,0.74,6,3,4.97,0.861,1.0,5.0,0.839,0.048,0.009,0.98,203,0
T10057,C20057,Mumbai,Bengaluru,980,Tata 407,4.13,2.19,FMCG,0.35,8,4,4.29,0.905,1.0,4.63,0.866,0.137,0.131,1.28,626,0
T10058,C20058,Delhi,Bengaluru,2150,17FT,5.53,0.99,Textiles,1.01,4,2,3.83,0.86,0.983,4.48,0.969,0.032,0.005,1.24,2692,0
T10059,C20059,Bengaluru,Hyderabad,570,20FT,9.99,1.0,Textiles,0.58,1,0,1.45,0.975,1.0,4.1,0.768,0.02,0.034,1.09,360,1
T10060,C20060,Mumbai,Delhi,1400,20FT,8.08,2.89,Furniture,1.55,19,17,1.86,0.785,1.0,3.65,0.977,0.124,0.012,0.84,1828,1
T10061,C20061,Kolkata,Bhubaneswar,440,Tata 407,4.13,2.41,Industrial Goods,0.86,12,13,1.47,0.982,1.0,5.0,0.995,0.036,0.011,1.21,460,1
T10062,C20062,Bengaluru,Mumbai,980,17FT,5.02,3.07,E-commerce Parcels,1.3,21,23,2.14,0.996,1.0,4.15,0.841,0.002,0.013,0.49,626,1
T10063,C20063,Delhi,Kolkata,1500,20FT,9.95,4.8,Textiles,2.46,22,21,1.64,0.836,1.0,4.05,0.92,0.074,0.003,0.95,3492,1
T10064,C20064,Bengaluru,Chennai,350,17FT,6.57,1.45,Electronics,0.4,13,7,6.7,0.844,1.0,4.47,0.921,0.139,0.018,0.83,146,0
T10065,C20065,Bengaluru,Hyderabad,570,LCV,3.41,0.98,FMCG,1.04,9,10,1.28,0.827,0.945,5.0,0.927,0.034,0.022,0.87,513,0
T10066,C20066,Bengaluru,Mumbai,980,LCV,3.73,2.07,E-commerce Parcels,2.01,3,4,0.98,0.802,1.0,4.51,0.936,0.04,0.023,1.22,2413,0
T10067,C20067,Pune,Mumbai,150,17FT,7.79,3.77,Electronics,0.35,7,1,6.48,1.0,1.0,4.27,0.938,0.009,0.012,1.09,82,1
T10068,C20068,Lucknow,Delhi,550,32FT,16.47,10.87,Textiles,7.6,3,0,3.8,1.0,1.0,4.79,0.883,0.034,0.026,1.09,4574,0
T10069,C20069,Mumbai,Pune,150,Tata 407,3.21,1.35,Pharma,0.9,0,0,0.0,0.694,1.0,4.85,0.814,0.047,0.026,0.82,111,0
T10070,C20070,Pune,Mumbai,150,20FT,9.35,3.4,Industrial Goods,2.57,4,4,0.29,1.0,1.0,4.78,0.808,0.015,0.005,0.97,375,1
T10071,C20071,Delhi,Bengaluru,2150,32FT,17.58,4.61,E-commerce Parcels,0.77,2,0,2.36,1.0,1.0,4.6,0.891,0.07,0.003,0.95,1555,0
T10072,C20072,Bengaluru,Delhi,2150,LCV,2.96,1.8,Industrial Goods,1.6,2,0,1.5,0.885,1.0,4.95,0.913,0.058,0.111,1.15,3949,0
T10073,C20073,Chennai,Bengaluru,350,32FT,17.72,7.32,Industrial Goods,5.22,0,0,0.0,0.71,1.0,4.27,0.838,0.104,0.041,0.69,1266,1
T10074,C20074,Bengaluru,Mumbai,980,32FT,17.39,12.98,E-commerce Parcels,7.01,2,4,1.92,0.949,1.0,4.96,0.856,0.004,0.002,0.65,4446,1
T10075,C20075,Mumbai,Pune,150,Tata 407,4.62,1.14,Electronics,1.21,18,15,2.25,0.838,0.939,4.06,0.764,0.071,0.019,0.67,122,0
T10076,C20076,Ahmedabad,Mumbai,530,40FT,18.27,4.28,Industrial Goods,2.65,17,15,0.7,0.92,1.0,3.3,0.974,0.021,0.019,1.02,1432,1
T10077,C20077,Jaipur,Ahmedabad,670,32FT,17.02,2.51,Electronics,1.46,3,2,1.41,1.0,1.0,4.44,0.858,0.033,0.024,0.56,546,1
T10078,C20078,Delhi,Bengaluru,2150,LCV,3.28,1.99,E-commerce Parcels,0.64,9,12,4.27,0.742,1.0,4.52,0.988,0.011,0.044,0.95,1311,0
T10079,C20079,Delhi,Mumbai,1400,32FT,17.0,4.67,Electronics,0.81,23,23,0.94,0.92,1.0,4.27,0.811,0.025,0.018,1.12,1263,0
T10080,C20080,Delhi,Jaipur,280,17FT,6.91,2.72,FMCG,3.09,5,5,0.23,0.93,0.881,4.04,0.871,0.006,0.002,0.89,768,0
T10081,C20081,Mumbai,Ahmedabad,530,20FT,8.49,1.01,Industrial Goods,0.54,19,19,0.7,0.919,1.0,4.11,0.723,0.009,0.025,0.99,283,0
T10082,C20082,Delhi,Bengaluru,2150,20FT,9.23,4.01,Auto Parts,2.3,2,2,0.0,1.0,1.0,4.09,0.652,0.091,0.011,1.18,5837,1
T10083,C20083,Delhi,Mumbai,1400,40FT,18.52,3.4,Pharma,3.27,17,17,0.0,0.933,1.0,4.34,0.859,0.007,0.019,1.28,5839,1
T10084,C20084,Ahmedabad,Jaipur,670,32FT,17.43,2.31,Textiles,2.08,4,6,1.5,0.868,1.0,4.05,0.823,0.076,0.008,0.81,1129,0
T10085,C20085,Delhi,Mumbai,1400,17FT,5.26,1.27,Furniture,0.75,19,17,0.96,0.936,1.0,5.0,0.992,0.056,0.08,0.73,774,1
T10086,C20086,Jaipur,Ahmedabad,670,40FT,21.15,4.34,FMCG,1.24,3,2,0.76,0.952,1.0,3.52,0.847,0.037,0.025,0.97,806,0
T10087,C20087,Ahmedabad,Jaipur,670,20FT,9.27,6.01,Electronics,6.91,19,19,0.14,0.929,0.871,4.14,0.946,0.096,0.045,1.1,5081,0
T10088,C20088,Jaipur,Delhi,280,40FT,24.34,14.94,Textiles,2.3,0,1,1.07,0.976,1.0,4.45,0.854,0.141,0.067,0.96,616,1
T10089,C20089,Jaipur,Ahmedabad,670,Tata 407,3.35,1.75,FMCG,0.7,16,17,0.87,0.875,1.0,4.82,0.919,0.011,0.059,1.1,515,1
T10090,C20090,Bhubaneswar,Kolkata,440,Tata 407,4.32,2.43,E-commerce Parcels,1.76,23,17,7.45,0.988,1.0,4.99,0.717,0.087,0.001,0.61,469,1
T10091,C20091,Kolkata,Bhubaneswar,440,17FT,6.81,1.63,Electronics,0.27,20,15,4.64,0.966,1.0,3.87,0.825,0.103,0.005,1.05,230,0
T10092,C20092,Chennai,Hyderabad,630,LCV,3.7,1.82,Auto Parts,1.36,11,13,0.83,0.905,1.0,3.86,0.983,0.003,0.011,0.57,491,0
T10093,C20093,Lucknow,Delhi,550,32FT,14.86,9.78,Industrial Goods,3.15,4,2,0.98,0.866,1.0,4.39,0.757,0.002,0.006,1.0,1739,0
T10094,C20094,Mumbai,Pune,150,20FT,9.53,3.58,Furniture,3.93,6,4,1.49,0.943,0.91,4.23,0.856,0.02,0.016,0.97,574,1
T10095,C20095,Mumbai,Ahmedabad,530,20FT,7.33,0.77,Auto Parts,0.37,8,8,0.02,0.885,1.0,4.24,0.801,0.04,0.003,1.16,308,1
T10096,C20096,Chennai,Hyderabad,630,32FT,16.53,11.62,FMCG,7.85,17,15,2.2,0.965,1.0,3.72,0.992,0.033,0.044,0.8,3981,0
T10097,C20097,Pune,Mumbai,150,20FT,9.91,2.44,Industrial Goods,1.52,17,12,2.92,0.975,1.0,4.44,0.832,0.103,0.03,0.73,166,1
T10098,C20098,Delhi,Jaipur,280,17FT,7.15,2.77,Industrial Goods,1.28,2,3,1.08,0.97,1.0,3.84,0.957,0.007,0.028,0.82,293,0
T10099,C20099,Delhi,Lucknow,550,17FT,5.49,2.38,Electronics,1.55,18,20,2.42,0.927,1.0,4.26,0.846,0.009,0.012,0.48,406,1
T10100,C20100,Bengaluru,Chennai,350,LCV,2.4,1.44,E-commerce Parcels,1.64,8,7,0.5,0.893,0.877,4.56,0.9,0.064,0.057,1.29,740,1
T10101,C20101,Kolkata,Delhi,1500,20FT,7.1,4.26,Pharma,3.96,19,16,3.17,0.866,1.0,4.53,0.93,0.083,0.025,1.07,6367,1
T10102,C20102,Delhi,Lucknow,550,Tata 407,4.01,0.71,Pharma,0.42,14,15,1.08,1.0,1.0,5.0,0.842,0.063,0.043,0.88,241,1
T10103,C20103,Ahmedabad,Mumbai,530,32FT,14.24,6.95,FMCG,6.55,0,0,0.59,0.925,1.0,3.97,0.772,0.051,0.05,1.24,4294,0
T10104,C20104,Bhubaneswar,Kolkata,440,LCV,2.23,1.57,Textiles,1.73,8,5,2.76,0.844,0.912,3.8,0.914,0.043,0.015,0.73,554,0
T10105,C20105,Delhi,Lucknow,550,LCV,2.64,0.92,Textiles,0.66,11,8,3.03,0.85,1.0,4.43,0.694,0.04,0.013,1.19,431,0
T10106,C20106,Bhubaneswar,Kolkata,440,32FT,14.23,5.38,E-commerce Parcels,4.38,12,15,2.31,1.0,1.0,4.36,0.881,0.056,0.011,1.0,1931,1
T10107,C20107,Mumbai,Bengaluru,980,40FT,22.54,8.15,Textiles,1.67,21,23,1.16,0.856,1.0,4.33,0.871,0.014,0.003,0.6,983,1
T10108,C20108,Ahmedabad,Jaipur,670,32FT,17.8,10.44,Auto Parts,3.88,5,7,2.27,0.835,1.0,4.46,0.988,0.082,0.017,0.9,2346,0
T10109,C20109,Hyderabad,Chennai,630,LCV,2.13,0.82,Textiles,0.26,7,0,8.51,0.828,1.0,4.1,0.682,0.091,0.034,1.16,367,0
T10110,C20110,Pune,Mumbai,150,LCV,3.46,0.96,FMCG,0.85,0,7,6.59,0.87,1.0,4.21,0.831,0.019,0.014,1.01,129,1
T10111,C20111,Kolkata,Delhi,1500,17FT,7.66,3.99,Textiles,3.21,18,19,0.78,1.0,1.0,4.54,0.995,0.165,0.034,1.01,4844,1
T10112,C20112,Kolkata,Delhi,1500,32FT,17.95,1.94,FMCG,1.72,2,6,2.36,0.915,1.0,4.27,0.961,0.018,0.044,0.99,2564,1
T10113,C20113,Lucknow,Delhi,550,20FT,7.89,2.42,Furniture,2.61,12,9,3.38,0.902,0.928,5.0,0.995,0.122,0.006,0.87,1251,1
T10114,C20114,Delhi,Mumbai,1400,32FT,16.53,9.73,Furniture,6.66,21,16,5.55,0.889,1.0,4.07,0.719,0.077,0.045,0.69,6479,0
T10115,C20115,Kolkata,Bhubaneswar,440,20FT,8.76,4.56,Furniture,3.83,4,2,0.68,0.861,1.0,4.48,0.845,0.025,0.072,1.09,1829,0
T10116,C20116,Ahmedabad,Mumbai,530,20FT,8.1,0.97,Electronics,0.33,9,14,4.99,0.884,1.0,5.0,0.728,0.096,0.009,1.01,268,0
T10117,C20117,Ahmedabad,Jaipur,670,40FT,21.65,9.78,Industrial Goods,1.85,17,23,5.63,0.9,1.0,4.7,0.962,0.024,0.013,0.54,676,0
T10118,C20118,Mumbai,Ahmedabad,530,40FT,19.02,4.63,Electronics,3.01,23,21,2.53,1.0,1.0,4.36,0.834,0.027,0.024,0.89,1417,1
T10119,C20119,Mumbai,Bengaluru,980,32FT,15.51,1.53,Pharma,0.99,7,9,2.0,1.0,1.0,4.72,0.81,0.067,0.023,1.07,1043,1
T10120,C20120,Kolkata,Bhubaneswar,440,LCV,3.24,1.74,Pharma,1.55,5,7,1.52,0.905,1.0,5.0,0.902,0.094,0.105,1.34,914,0
T10121,C20121,Ahmedabad,Mumbai,530,LCV,2.39,0.31,Textiles,0.27,20,18,2.43,1.0,1.0,4.46,0.895,0.046,0.002,1.04,276,1
T10122,C20122,Pune,Mumbai,150,32FT,14.13,2.73,Electronics,2.0,19,20,0.91,0.796,1.0,4.15,0.671,0.095,0.075,1.24,373,0
T10123,C20123,Bhubaneswar,Kolkata,440,20FT,8.27,3.78,Textiles,1.62,1,7,7.18,0.981,1.0,4.43,0.873,0.075,0.066,1.02,731,1
T10124,C20124,Hyderabad,Chennai,630,40FT,23.11,14.2,Industrial Goods,5.38,4,10,6.57,0.968,1.0,3.63,0.798,0.159,0.013,1.21,4102,0
T10125,C20125,Delhi,Jaipur,280,40FT,18.49,8.74,Pharma,3.84,7,5,0.51,0.899,1.0,4.04,0.879,0.068,0.01,0.92,986,1
T10126,C20126,Mumbai,Pune,150,32FT,15.02,6.44,Auto Parts,7.04,9,9,0.97,1.0,0.915,4.2,0.859,0.069,0.005,1.31,1384,1
T10127,C20127,Chennai,Hyderabad,630,40FT,19.73,5.05,Industrial Goods,0.98,0,0,0.0,0.928,1.0,4.47,0.785,0.047,0.018,0.86,533,1
T10128,C20128,Pune,Mumbai,150,Tata 407,4.11,1.23,Auto Parts,0.53,14,13,2.25,0.959,1.0,4.58,0.703,0.068,0.01,0.9,71,1
T10129,C20129,Lucknow,Delhi,550,40FT,18.57,12.49,Industrial Goods,6.42,21,23,2.12,0.97,1.0,4.53,0.794,0.075,0.028,1.02,3590,0
T10130,C20130,Mumbai,Bengaluru,980,LCV,3.51,1.13,Pharma,0.91,13,13,0.83,0.943,1.0,3.86,0.898,0.111,0.017,0.67,600,0
T10131,C20131,Hyderabad,Chennai,630,40FT,22.06,11.04,Furniture,2.96,12,11,2.11,1.0,1.0,3.97,0.945,0.016,0.063,0.72,1338,1
T10132,C20132,Delhi,Lucknow,550,20FT,7.85,3.79,E-commerce Parcels,2.01,2,2,0.7,0.99,1.0,4.04,0.718,0.03,0.001,1.16,1285,1
T10133,C20133,Ahmedabad,Jaipur,670,20FT,7.81,2.62,Industrial Goods,0.33,4,5,2.2,0.849,1.0,4.05,0.93,0.098,0.025,0.93,310,0
T10134,C20134,Ahmedabad,Jaipur,670,17FT,7.24,2.76,Pharma,1.43,16,17,0.79,0.879,1.0,4.79,0.967,0.015,0.001,0.87,834,1
T10135,C20135,Lucknow,Delhi,550,LCV,2.32,0.43,Textiles,0.37,7,9,2.24,0.807,1.0,4.65,0.777,0.033,0.006,1.06,291,0
T10136,C20136,Kolkata,Delhi,1500,LCV,3.99,1.32,E-commerce Parcels,1.06,7,8,0.47,0.989,1.0,3.88,0.823,0.02,0.077,1.3,2055,1
T10137,C20137,Bengaluru,Delhi,2150,32FT,14.24,6.87,Pharma,5.47,9,17,6.99,0.843,1.0,4.58,0.995,0.069,0.006,0.66,7751,0
T10138,C20138,Bengaluru,Hyderabad,570,Tata 407,3.84,1.14,E-commerce Parcels,1.08,0,0,0.41,0.954,1.0,4.41,0.84,0.03,0.014,0.97,597,1
T10139,C20139,Hyderabad,Chennai,630,Tata 407,4.15,0.82,Furniture,0.55,4,4,0.02,1.0,1.0,3.81,0.934,0.028,0.027,0.73,250,1
T10140,C20140,Ahmedabad,Jaipur,670,LCV,3.22,1.97,Textiles,1.9,3,5,0.92,0.952,1.0,4.21,0.805,0.073,0.089,1.23,1564,1
T10141,C20141,Mumbai,Ahmedabad,530,40FT,23.33,12.76,Furniture,2.37,21,23,2.6,0.836,1.0,4.22,0.628,0.002,0.036,1.02,1279,0
T10142,C20142,Ahmedabad,Mumbai,530,Tata 407,4.97,2.72,FMCG,2.01,21,23,1.98,0.926,1.0,4.09,0.892,0.077,0.015,1.29,1374,0
T10143,C20143,Bengaluru,Chennai,350,20FT,8.49,4.2,Electronics,0.9,20,20,0.51,1.0,1.0,5.0,0.874,0.225,0.141,1.1,348,1
T10144,C20144,Mumbai,Delhi,1400,40FT,20.36,10.03,Textiles,4.95,18,20,1.72,1.0,1.0,4.16,0.892,0.107,0.039,0.68,4714,1
T10145,C20145,Delhi,Kolkata,1500,LCV,2.78,0.76,E-commerce Parcels,0.31,22,18,4.22,0.863,1.0,4.31,0.937,0.009,0.032,1.23,920,1
T10146,C20146,Mumbai,Pune,150,32FT,15.08,4.1,Textiles,0.93,22,23,1.8,1.0,1.0,3.93,0.79,0.053,0.015,0.99,139,1
T10147,C20147,Delhi,Mumbai,1400,32FT,15.51,4.5,E-commerce Parcels,1.06,11,8,3.17,0.999,1.0,3.64,0.957,0.113,0.004,1.0,1487,0
T10148,C20148,Delhi,Lucknow,550,Tata 407,4.96,3.6,Furniture,0.76,1,4,3.75,0.877,1.0,4.0,0.995,0.021,0.011,0.96,402,1
T10149,C20149,Hyderabad,Chennai,630,17FT,5.52,0.71,Furniture,0.25,22,23,1.6,0.953,1.0,4.05,0.865,0.018,0.044,0.94,296,0
T10150,C20150,Mumbai,Pune,150,20FT,9.78,3.47,FMCG,0.21,5,3,3.01,0.84,1.0,4.83,0.934,0.101,0.03,0.92,69,1
T10151,C20151,Chennai,Hyderabad,630,32FT,16.71,3.57,Auto Parts,2.73,8,5,2.79,1.0,1.0,3.69,0.81,0.039,0.013,0.75,1287,0
T10152,C20152,Kolkata,Delhi,1500,17FT,7.41,4.94,E-commerce Parcels,2.79,2,4,2.5,0.944,1.0,4.52,0.781,0.007,0.004,0.65,2724,1
T10153,C20153,Jaipur,Ahmedabad,670,32FT,17.81,3.08,Pharma,3.4,7,6,0.67,1.0,0.904,4.09,0.995,0.031,0.033,0.96,2186,1
T10154,C20154,Mumbai,Delhi,1400,LCV,2.87,0.95,Pharma,0.85,17,23,7.14,1.0,1.0,4.39,0.714,0.004,0.029,0.63,746,0
T10155,C20155,Mumbai,Ahmedabad,530,LCV,3.87,2.74,Pharma,1.81,18,20,1.08,1.0,1.0,4.85,0.795,0.051,0.007,1.2,1153,1
T10156,C20156,Delhi,Mumbai,1400,40FT,19.92,2.14,Textiles,0.75,10,7,3.09,0.903,1.0,3.86,0.913,0.128,0.027,0.88,922,1
T10157,C20157,Lucknow,Delhi,550,LCV,2.08,0.71,Textiles,0.51,7,5,2.61,1.0,1.0,4.1,0.995,0.028,0.016,0.84,235,1
T10158,C20158,Kolkata,Bhubaneswar,440,40FT,19.14,8.17,FMCG,3.51,14,15,1.75,1.0,1.0,4.79,0.995,0.06,0.013,0.98,1514,1
T10159,C20159,Hyderabad,Bengaluru,570,LCV,3.48,2.44,FMCG,0.4,17,16,1.62,0.943,1.0,4.76,0.908,0.082,0.035,0.96,274,1
