cargo_id,origin,destination,distance_km,cargo_type,cargo_weight_tons,pickup_hour,urgency
C20049,Chennai,Hyderabad,630,Furniture,1.0,21,normal
C20050,Jaipur,Delhi,280,Pharma,5.13,21,normal
C20051,Delhi,Bengaluru,2150,Textiles,1.2,15,same_day
C20052,Kolkata,Delhi,1500,E-commerce Parcels,0.95,23,same_day
C20053,Mumbai,Delhi,1400,E-commerce Parcels,2.71,5,normal
C20054,Chennai,Bengaluru,350,FMCG,2.35,7,same_day
C20055,Bengaluru,Mumbai,980,Electronics,1.65,7,normal
C20056,Jaipur,Delhi,280,Furniture,0.74,3,normal
C20057,Mumbai,Bengaluru,980,FMCG,0.35,4,normal
C20058,Delhi,Bengaluru,2150,Textiles,1.01,2,normal
C20059,Bengaluru,Hyderabad,570,Textiles,0.58,0,normal
C20060,Mumbai,Delhi,1400,Furniture,1.55,17,normal
C20061,Kolkata,Bhubaneswar,440,Industrial Goods,0.86,13,normal
C20062,Bengaluru,Mumbai,980,E-commerce Parcels,1.3,23,normal
C20063,Delhi,Kolkata,1500,Textiles,2.46,21,normal
C20064,Bengaluru,Chennai,350,Electronics,0.4,7,normal
C20065,Bengaluru,Hyderabad,570,FMCG,1.04,10,same_day
C20066,Bengaluru,Mumbai,980,E-commerce Parcels,2.01,4,same_day
C20067,Pune,Mumbai,150,Electronics,0.35,1,normal
C20068,Lucknow,Delhi,550,Textiles,7.6,0,normal
C20069,Mumbai,Pune,150,Pharma,0.9,0,urgent
C20070,Pune,Mumbai,150,Industrial Goods,2.57,4,normal
C20071,Delhi,Bengaluru,2150,E-commerce Parcels,0.77,0,normal
C20072,Bengaluru,Delhi,2150,Industrial Goods,1.6,0,normal
C20073,Chennai,Bengaluru,350,Industrial Goods,5.22,0,same_day
C20074,Bengaluru,Mumbai,980,E-commerce Parcels,7.01,4,urgent
C20075,Mumbai,Pune,150,Electronics,1.21,15,normal
C20076,Ahmedabad,Mumbai,530,Industrial Goods,2.65,15,same_day
C20077,Jaipur,Ahmedabad,670,Electronics,1.46,2,normal
C20078,Delhi,Bengaluru,2150,E-commerce Parcels,0.64,12,normal
C20079,Delhi,Mumbai,1400,Electronics,0.81,23,normal
C20080,Delhi,Jaipur,280,FMCG,3.09,5,same_day
C20081,Mumbai,Ahmedabad,530,Industrial Goods,0.54,19,normal
C20082,Delhi,Bengaluru,2150,Auto Parts,2.3,2,normal
C20083,Delhi,Mumbai,1400,Pharma,3.27,17,normal
C20084,Ahmedabad,Jaipur,670,Textiles,2.08,6,normal
C20085,Delhi,Mumbai,1400,Furniture,0.75,17,normal
C20086,Jaipur,Ahmedabad,670,FMCG,1.24,2,same_day
C20087,Ahmedabad,Jaipur,670,Electronics,6.91,19,same_day
C20088,Jaipur,Delhi,280,Textiles,2.3,1,normal
C20089,Jaipur,Ahmedabad,670,FMCG,0.7,17,normal
C20090,Bhubaneswar,Kolkata,440,E-commerce Parcels,1.76,17,normal
C20091,Kolkata,Bhubaneswar,440,Electronics,0.27,15,normal
C20092,Chennai,Hyderabad,630,Auto Parts,1.36,13,normal
C20093,Lucknow,Delhi,550,Industrial Goods,3.15,2,normal
C20094,Mumbai,Pune,150,Furniture,3.93,4,normal
C20095,Mumbai,Ahmedabad,530,Auto Parts,0.37,8,same_day
C20096,Chennai,Hyderabad,630,FMCG,7.85,15,normal
C20097,Pune,Mumbai,150,Industrial Goods,1.52,12,urgent
C20098,Delhi,Jaipur,280,Industrial Goods,1.28,3,normal
C20099,Delhi,Lucknow,550,Electronics,1.55,20,normal
C20100,Bengaluru,Chennai,350,E-commerce Parcels,1.64,7,normal
C20101,Kolkata,Delhi,1500,Pharma,3.96,16,normal
C20102,Delhi,Lucknow,550,Pharma,0.42,15,normal
C20103,Ahmedabad,Mumbai,530,FMCG,6.55,0,normal
C20104,Bhubaneswar,Kolkata,440,Textiles,1.73,5,normal
C20105,Delhi,Lucknow,550,Textiles,0.66,8,normal
C20106,Bhubaneswar,Kolkata,440,E-commerce Parcels,4.38,15,normal
C20107,Mumbai,Bengaluru,980,Textiles,1.67,23,normal
C20108,Ahmedabad,Jaipur,670,Auto Parts,3.88,7,normal
C20109,Hyderabad,Chennai,630,Textiles,0.26,0,normal
C20110,Pune,Mumbai,150,FMCG,0.85,7,same_day
C20111,Kolkata,Delhi,1500,Textiles,3.21,19,normal
C20112,Kolkata,Delhi,1500,FMCG,1.72,6,normal
C20113,Lucknow,Delhi,550,Furniture,2.61,9,normal
C20114,Delhi,Mumbai,1400,Furniture,6.66,16,normal
C20115,Kolkata,Bhubaneswar,440,Furniture,3.83,2,normal
C20116,Ahmedabad,Mumbai,530,Electronics,0.33,14,same_day
C20117,Ahmedabad,Jaipur,670,Industrial Goods,1.85,23,urgent
C20118,Mumbai,Ahmedabad,530,Electronics,3.01,21,same_day
C20119,Mumbai,Bengaluru,980,Pharma,0.99,9,normal
C20120,Kolkata,Bhubaneswar,440,Pharma,1.55,7,same_day
C20121,Ahmedabad,Mumbai,530,Textiles,0.27,18,normal
C20122,Pune,Mumbai,150,Electronics,2.0,20,normal
C20123,Bhubaneswar,Kolkata,440,Textiles,1.62,7,normal
C20124,Hyderabad,Chennai,630,Industrial Goods,5.38,10,normal
C20125,Delhi,Jaipur,280,Pharma,3.84,5,normal
C20126,Mumbai,Pune,150,Auto Parts,7.04,9,urgent
C20127,Chennai,Hyderabad,630,Industrial Goods,0.98,0,normal
C20128,Pune,Mumbai,150,Auto Parts,0.53,13,normal
C20129,Lucknow,Delhi,550,Industrial Goods,6.42,23,normal
C20130,Mumbai,Bengaluru,980,Pharma,0.91,13,urgent
C20131,Hyderabad,Chennai,630,Furniture,2.96,11,normal
C20132,Delhi,Lucknow,550,E-commerce Parcels,2.01,2,same_day
C20133,Ahmedabad,Jaipur,670,Industrial Goods,0.33,5,normal
C20134,Ahmedabad,Jaipur,670,Pharma,1.43,17,normal
C20135,Lucknow,Delhi,550,Textiles,0.37,9,urgent
C20136,Kolkata,Delhi,1500,E-commerce Parcels,1.06,8,normal
C20137,Bengaluru,Delhi,2150,Pharma,5.47,17,normal
C20138,Bengaluru,Hyderabad,570,E-commerce Parcels,1.08,0,same_day
C20139,Hyderabad,Chennai,630,Furniture,0.55,4,normal
C20140,Ahmedabad,Jaipur,670,Textiles,1.9,5,normal
C20141,Mumbai,Ahmedabad,530,Furniture,2.37,23,normal
C20142,Ahmedabad,Mumbai,530,FMCG,2.01,23,same_day
C20143,Bengaluru,Chennai,350,Electronics,0.9,20,normal
C20144,Mumbai,Delhi,1400,Textiles,4.95,20,normal
C20145,Delhi,Kolkata,1500,E-commerce Parcels,0.31,18,urgent
C20146,Mumbai,Pune,150,Textiles,0.93,23,normal
C20147,Delhi,Mumbai,1400,E-commerce Parcels,1.06,8,normal
C20148,Delhi,Lucknow,550,Furniture,0.76,4,normal
C20149,Hyderabad,Chennai,630,Furniture,0.25,23,normal
C20150,Mumbai,Pune,150,FMCG,0.21,3,same_day
C20151,Chennai,Hyderabad,630,Auto Parts,2.73,5,normal
C20152,Kolkata,Delhi,1500,E-commerce Parcels,2.79,4,normal
C20153,Jaipur,Ahmedabad,670,Pharma,3.4,6,same_day
C20154,Mumbai,Delhi,1400,Pharma,0.85,23,normal
C20155,Mumbai,Ahmedabad,530,Pharma,1.81,20,urgent
C20156,Delhi,Mumbai,1400,Textiles,0.75,7,normal
C20157,Lucknow,Delhi,550,Textiles,0.51,5,normal
C20158,Kolkata,Bhubaneswar,440,FMCG,3.51,15,normal
C20159,Hyderabad,Bengaluru,570,FMCG,0.4,16,same_day
C20160,Delhi,Lucknow,550,FMCG,1.6,21,normal
C20161,Jaipur,Ahmedabad,670,Textiles,0.3,4,normal
C20162,Bengaluru,Mumbai,980,Industrial Goods,3.72,10,urgent
C20163,Mumbai,Bengaluru,980,Industrial Goods,5.7,0,normal
C20164,Bengaluru,Chennai,350,Industrial Goods,2.5,11,normal
C20165,Chennai,Hyderabad,630,Industrial Goods,0.4,11,normal
C20166,Hyderabad,Bengaluru,570,Industrial Goods,0.81,8,same_day
C20167,Chennai,Hyderabad,630,Industrial Goods,2.59,3,same_day
C20168,Delhi,Bengaluru,2150,Textiles,1.85,2,normal
C20169,Ahmedabad,Mumbai,530,Pharma,4.07,20,urgent
C20170,Mumbai,Pune,150,FMCG,4.79,9,urgent
C20171,Bhubaneswar,Kolkata,440,Electronics,0.28,11,normal
C20172,Ahmedabad,Jaipur,670,Textiles,3.49,5,normal
C20173,Jaipur,Ahmedabad,670,Auto Parts,0.21,0,normal
C20174,Ahmedabad,Mumbai,530,Furniture,3.91,2,normal
C20175,Delhi,Lucknow,550,Electronics,1.73,11,normal
C20176,Mumbai,Delhi,1400,FMCG,2.75,6,normal
C20177,Delhi,Bengaluru,2150,Electronics,7.48,9,normal
C20178,Bengaluru,Delhi,2150,FMCG,0.32,7,same_day
C20179,Delhi,Jaipur,280,Pharma,0.79,6,normal
C20180,Lucknow,Delhi,550,Furniture,3.83,9,normal
C20181,Mumbai,Delhi,1400,Textiles,1.54,0,urgent
C20182,Delhi,Bengaluru,2150,Furniture,1.16,19,same_day
C20183,Lucknow,Delhi,550,Industrial Goods,2.27,18,normal
C20184,Chennai,Hyderabad,630,Textiles,0.62,0,normal
C20185,Hyderabad,Bengaluru,570,E-commerce Parcels,2.04,5,normal
C20186,Bengaluru,Chennai,350,Auto Parts,0.23,14,same_day
C20187,Kolkata,Bhubaneswar,440,Textiles,1.06,9,normal
C20188,Jaipur,Ahmedabad,670,Textiles,0.34,11,normal
C20189,Bhubaneswar,Kolkata,440,Auto Parts,1.26,17,normal
C20190,Mumbai,Pune,150,Textiles,0.54,19,normal
C20191,Delhi,Bengaluru,2150,Pharma,1.86,1,normal
C20192,Mumbai,Ahmedabad,530,E-commerce Parcels,5.88,13,same_day
C20193,Bengaluru,Chennai,350,E-commerce Parcels,1.19,18,normal
C20194,Delhi,Mumbai,1400,Electronics,0.73,21,normal
C20195,Jaipur,Ahmedabad,670,Furniture,2.83,0,normal
C20196,Mumbai,Bengaluru,980,Pharma,0.44,23,normal
C20197,Delhi,Kolkata,1500,Electronics,0.73,0,normal
C20198,Delhi,Lucknow,550,Auto Parts,0.59,20,normal
C20199,Mumbai,Delhi,1400,E-commerce Parcels,1.27,13,normal
C20200,Ahmedabad,Jaipur,670,Textiles,0.26,23,normal
C20201,Jaipur,Ahmedabad,670,E-commerce Parcels,2.99,7,normal
C20202,Mumbai,Pune,150,FMCG,2.43,14,normal
C20203,Bhubaneswar,Kolkata,440,Furniture,0.45,9,normal
C20204,Mumbai,Pune,150,FMCG,5.71,16,normal
C20205,Kolkata,Delhi,1500,Textiles,2.69,10,normal
C20206,Bengaluru,Chennai,350,Auto Parts,2.0,11,normal
C20207,Delhi,Kolkata,1500,FMCG,0.43,8,normal
C20208,Bengaluru,Hyderabad,570,Industrial Goods,0.26,0,same_day
C20209,Ahmedabad,Mumbai,530,Textiles,2.41,21,normal
C20210,Mumbai,Pune,150,E-commerce Parcels,1.74,9,normal
C20211,Bengaluru,Delhi,2150,FMCG,1.8,23,normal
C20212,Bengaluru,Hyderabad,570,Pharma,3.96,7,normal
C20213,Delhi,Kolkata,1500,Industrial Goods,0.78,16,normal
C20214,Pune,Mumbai,150,FMCG,1.44,23,same_day
C20215,Delhi,Jaipur,280,Textiles,0.54,21,normal
C20216,Chennai,Bengaluru,350,Pharma,0.87,17,same_day
C20217,Mumbai,Bengaluru,980,Auto Parts,0.2,0,normal
C20218,Jaipur,Delhi,280,FMCG,1.33,4,normal
C20219,Chennai,Hyderabad,630,Industrial Goods,3.06,11,normal
C20220,Hyderabad,Chennai,630,Industrial Goods,0.37,13,normal
C20221,Delhi,Kolkata,1500,E-commerce Parcels,0.67,13,normal
C20222,Delhi,Jaipur,280,Textiles,2.66,0,normal
C20223,Chennai,Bengaluru,350,Auto Parts,0.23,0,normal
C20224,Hyderabad,Chennai,630,Electronics,0.8,2,normal
C20225,Kolkata,Bhubaneswar,440,Electronics,0.26,5,same_day
C20226,Bengaluru,Chennai,350,FMCG,0.77,1,normal
C20227,Kolkata,Bhubaneswar,440,FMCG,1.17,13,normal
C20228,Kolkata,Delhi,1500,Textiles,1.97,21,urgent
C20229,Pune,Mumbai,150,E-commerce Parcels,1.09,16,urgent
C20230,Jaipur,Ahmedabad,670,Auto Parts,1.54,13,urgent
C20231,Ahmedabad,Mumbai,530,Industrial Goods,1.54,11,normal
C20232,Delhi,Mumbai,1400,Textiles,0.21,2,normal
C20233,Chennai,Hyderabad,630,Electronics,0.69,12,normal
C20234,Ahmedabad,Jaipur,670,Furniture,1.37,19,normal
C20235,Mumbai,Ahmedabad,530,FMCG,1.77,11,same_day
C20236,Bengaluru,Chennai,350,Electronics,0.92,20,same_day
C20237,Delhi,Mumbai,1400,Textiles,0.97,6,normal
C20238,Mumbai,Pune,150,Textiles,6.12,22,normal
C20239,Bengaluru,Hyderabad,570,E-commerce Parcels,6.08,6,urgent
C20240,Mumbai,Bengaluru,980,Industrial Goods,0.54,7,normal
C20241,Bengaluru,Delhi,2150,FMCG,0.24,10,same_day
C20242,Pune,Mumbai,150,Electronics,0.41,5,normal
C20243,Mumbai,Bengaluru,980,Textiles,3.66,6,normal
C20244,Mumbai,Ahmedabad,530,Textiles,0.28,11,normal
C20245,Bengaluru,Chennai,350,Pharma,0.73,14,normal
C20246,Jaipur,Ahmedabad,670,Furniture,0.84,21,urgent
C20247,Ahmedabad,Jaipur,670,Textiles,7.67,1,same_day
C20248,Mumbai,Ahmedabad,530,Furniture,1.11,16,normal
C20249,Chennai,Hyderabad,630,Electronics,0.33,10,normal
C20250,Bengaluru,Chennai,350,Furniture,0.68,19,same_day
C20251,Chennai,Hyderabad,630,Industrial Goods,3.54,11,same_day
C20252,Delhi,Mumbai,1400,E-commerce Parcels,1.78,3,normal
C20253,Lucknow,Delhi,550,Textiles,1.28,22,normal
C20254,Kolkata,Delhi,1500,Auto Parts,2.99,0,same_day
C20255,Mumbai,Pune,150,Furniture,0.57,9,normal
C20256,Bengaluru,Hyderabad,570,Electronics,0.48,19,normal
C20257,Bhubaneswar,Kolkata,440,Textiles,2.35,12,normal
C20258,Delhi,Bengaluru,2150,Electronics,1.06,11,normal
C20259,Jaipur,Delhi,280,E-commerce Parcels,0.2,3,normal
C20260,Chennai,Bengaluru,350,Textiles,0.81,1,normal
C20261,Delhi,Kolkata,1500,Textiles,3.2,11,normal
C20262,Lucknow,Delhi,550,E-commerce Parcels,0.85,11,normal
C20263,Hyderabad,Bengaluru,570,FMCG,2.22,20,normal
C20264,Bengaluru,Delhi,2150,Electronics,4.16,14,normal
C20265,Kolkata,Delhi,1500,Textiles,1.43,22,normal
C20266,Mumbai,Pune,150,Electronics,0.25,14,normal
C20267,Bengaluru,Hyderabad,570,FMCG,5.49,21,normal
C20268,Chennai,Hyderabad,630,Textiles,6.98,7,same_day
C20269,Mumbai,Delhi,1400,FMCG,3.98,4,same_day
C20270,Hyderabad,Chennai,630,Pharma,2.09,23,normal
C20271,Mumbai,Pune,150,Industrial Goods,0.56,21,same_day
C20272,Chennai,Hyderabad,630,Industrial Goods,1.23,16,normal
C20273,Hyderabad,Chennai,630,Industrial Goods,0.39,20,urgent
C20274,Ahmedabad,Jaipur,670,Pharma,1.39,17,normal
C20275,Delhi,Mumbai,1400,Furniture,0.46,1,same_day
C20276,Pune,Mumbai,150,FMCG,4.33,23,normal
C20277,Hyderabad,Bengaluru,570,Auto Parts,2.48,11,normal
C20278,Chennai,Bengaluru,350,Pharma,3.61,14,normal
C20279,Delhi,Jaipur,280,Auto Parts,0.45,23,normal
C20280,Mumbai,Delhi,1400,Textiles,3.61,16,urgent
C20281,Lucknow,Delhi,550,FMCG,0.62,7,normal
C20282,Lucknow,Delhi,550,Industrial Goods,6.74,3,normal
C20283,Mumbai,Pune,150,Auto Parts,3.23,23,normal
C20284,Ahmedabad,Jaipur,670,Electronics,2.33,16,same_day
C20285,Ahmedabad,Jaipur,670,Textiles,0.56,22,same_day
C20286,Kolkata,Bhubaneswar,440,Pharma,1.81,19,normal
C20287,Lucknow,Delhi,550,Textiles,0.36,1,normal
C20288,Mumbai,Pune,150,Furniture,2.57,2,urgent
C20289,Jaipur,Ahmedabad,670,Auto Parts,2.67,11,same_day
C20290,Chennai,Hyderabad,630,Auto Parts,0.51,14,normal
C20291,Mumbai,Ahmedabad,530,Pharma,0.46,17,urgent
C20292,Hyderabad,Chennai,630,Furniture,0.35,23,normal
C20293,Kolkata,Delhi,1500,Auto Parts,1.06,19,normal
C20294,Delhi,Jaipur,280,FMCG,6.05,9,same_day
C20295,Mumbai,Ahmedabad,530,Electronics,4.98,17,normal
C20296,Hyderabad,Bengaluru,570,FMCG,2.63,0,normal
C20297,Delhi,Bengaluru,2150,E-commerce Parcels,4.33,19,normal
C20298,Bhubaneswar,Kolkata,440,Furniture,0.96,1,normal
C20299,Lucknow,Delhi,550,Electronics,0.71,10,normal
C20300,Delhi,Bengaluru,2150,Industrial Goods,0.22,11,normal
C20301,Bengaluru,Delhi,2150,FMCG,1.11,8,same_day
C20302,Delhi,Mumbai,1400,Furniture,0.86,17,same_day
C20303,Mumbai,Pune,150,Industrial Goods,0.37,22,urgent
C20304,Bengaluru,Chennai,350,Auto Parts,0.28,1,same_day
C20305,Bengaluru,Mumbai,980,Electronics,1.34,17,normal
C20306,Ahmedabad,Jaipur,670,Electronics,5.08,5,same_day
C20307,Bengaluru,Chennai,350,FMCG,2.95,0,normal
C20308,Mumbai,Delhi,1400,Electronics,6.04,10,normal
C20309,Jaipur,Ahmedabad,670,Industrial Goods,0.41,17,normal
C20310,Mumbai,Delhi,1400,Pharma,2.64,15,normal
C20311,Mumbai,Pune,150,E-commerce Parcels,0.23,20,normal
C20312,Pune,Mumbai,150,Industrial Goods,1.69,23,normal
C20313,Mumbai,Delhi,1400,Auto Parts,3.91,15,normal
C20314,Jaipur,Delhi,280,Industrial Goods,0.46,12,normal
C20315,Bengaluru,Delhi,2150,Industrial Goods,4.43,19,normal
C20316,Delhi,Bengaluru,2150,E-commerce Parcels,3.51,16,normal
C20317,Delhi,Mumbai,1400,Pharma,2.95,0,normal
C20318,Chennai,Hyderabad,630,Pharma,1.57,3,normal
C20319,Delhi,Bengaluru,2150,Furniture,0.66,15,normal
C20320,Chennai,Hyderabad,630,Furniture,0.45,2,same_day
C20321,Mumbai,Delhi,1400,FMCG,0.59,4,normal
C20322,Ahmedabad,Jaipur,670,FMCG,0.36,21,normal
C20323,Bengaluru,Chennai,350,Pharma,1.08,17,normal
C20324,Delhi,Bengaluru,2150,Auto Parts,2.26,13,normal
C20325,Kolkata,Bhubaneswar,440,Pharma,1.22,6,normal
C20326,Kolkata,Delhi,1500,FMCG,1.31,13,normal
C20327,Chennai,Bengaluru,350,Pharma,1.0,4,normal
C20328,Mumbai,Bengaluru,980,FMCG,3.47,2,normal
C20329,Bengaluru,Chennai,350,Pharma,0.58,13,normal
C20330,Mumbai,Bengaluru,980,E-commerce Parcels,0.99,23,normal
C20331,Lucknow,Delhi,550,Electronics,5.39,18,normal
C20332,Jaipur,Ahmedabad,670,Industrial Goods,1.8,9,normal
C20333,Ahmedabad,Jaipur,670,Industrial Goods,4.34,17,same_day
C20334,Jaipur,Ahmedabad,670,Electronics,0.67,15,normal
C20335,Bhubaneswar,Kolkata,440,Electronics,7.65,8,same_day
C20336,Bengaluru,Delhi,2150,Textiles,1.75,13,normal
C20337,Bengaluru,Chennai,350,Textiles,1.72,0,normal
C20338,Bhubaneswar,Kolkata,440,Electronics,0.98,8,urgent
C20339,Hyderabad,Chennai,630,Furniture,1.29,12,normal
C20340,Ahmedabad,Mumbai,530,FMCG,1.59,3,normal
C20341,Mumbai,Bengaluru,980,E-commerce Parcels,0.61,3,normal
C20342,Mumbai,Pune,150,Auto Parts,2.42,16,same_day
C20343,Delhi,Lucknow,550,E-commerce Parcels,1.9,4,same_day
C20344,Delhi,Kolkata,1500,Auto Parts,0.6,16,normal
C20345,Delhi,Jaipur,280,E-commerce Parcels,0.63,6,normal
C20346,Delhi,Kolkata,1500,Electronics,0.3,11,same_day
C20347,Bhubaneswar,Kolkata,440,FMCG,3.91,15,normal
C20348,Jaipur,Ahmedabad,670,Electronics,5.78,15,same_day
C20349,Delhi,Kolkata,1500,Furniture,3.13,10,normal
C20350,Hyderabad,Chennai,630,Textiles,1.57,9,normal
C20351,Pune,Mumbai,150,Furniture,0.59,12,normal
C20352,Bhubaneswar,Kolkata,440,Auto Parts,0.41,0,normal
C20353,Bengaluru,Mumbai,980,E-commerce Parcels,1.26,7,normal
C20354,Kolkata,Bhubaneswar,440,Textiles,1.83,1,normal
C20355,Bengaluru,Hyderabad,570,Auto Parts,4.52,23,normal
C20356,Mumbai,Delhi,1400,Industrial Goods,6.74,15,normal
C20357,Bengaluru,Hyderabad,570,E-commerce Parcels,0.45,13,normal
C20358,Mumbai,Pune,150,Textiles,1.02,20,normal
C20359,Chennai,Hyderabad,630,E-commerce Parcels,4.19,10,urgent
C20360,Mumbai,Ahmedabad,530,Auto Parts,0.38,1,normal
C20361,Chennai,Bengaluru,350,Auto Parts,2.34,21,normal
C20362,Ahmedabad,Mumbai,530,Electronics,0.62,14,urgent
C20363,Jaipur,Delhi,280,Auto Parts,6.82,22,normal
C20364,Delhi,Kolkata,1500,Auto Parts,1.3,17,normal
C20365,Kolkata,Bhubaneswar,440,Electronics,1.69,0,urgent
C20366,Bengaluru,Chennai,350,Furniture,0.84,10,same_day
C20367,Mumbai,Ahmedabad,530,Furniture,1.78,3,same_day
C20368,Chennai,Hyderabad,630,Furniture,3.66,3,normal
C20369,Mumbai,Delhi,1400,Textiles,0.41,4,normal
C20370,Kolkata,Bhubaneswar,440,Furniture,2.02,6,normal
C20371,Kolkata,Bhubaneswar,440,Electronics,1.71,4,same_day
C20372,Bengaluru,Delhi,2150,E-commerce Parcels,0.7,8,normal
C20373,Bengaluru,Hyderabad,570,Furniture,0.25,9,normal
C20374,Bengaluru,Hyderabad,570,E-commerce Parcels,4.58,23,normal
C20375,Delhi,Jaipur,280,Furniture,5.81,5,normal
C20376,Kolkata,Bhubaneswar,440,Textiles,1.93,19,same_day
C20377,Bhubaneswar,Kolkata,440,E-commerce Parcels,4.09,15,normal
C20378,Bengaluru,Mumbai,980,Auto Parts,3.37,2,normal
C20379,Delhi,Bengaluru,2150,FMCG,0.48,8,normal
C20380,Mumbai,Bengaluru,980,Textiles,4.74,18,normal
C20381,Hyderabad,Chennai,630,Industrial Goods,0.28,5,same_day
C20382,Mumbai,Ahmedabad,530,Textiles,1.62,5,normal
C20383,Bengaluru,Hyderabad,570,Textiles,1.86,19,normal
C20384,Ahmedabad,Jaipur,670,Pharma,0.82,15,same_day
C20385,Ahmedabad,Jaipur,670,Textiles,1.42,4,normal
C20386,Mumbai,Delhi,1400,Electronics,7.56,9,normal
C20387,Ahmedabad,Jaipur,670,Furniture,1.72,16,normal
C20388,Hyderabad,Bengaluru,570,Electronics,1.19,19,normal
C20389,Jaipur,Delhi,280,E-commerce Parcels,6.16,21,urgent
C20390,Mumbai,Delhi,1400,Furniture,0.98,0,normal
C20391,Mumbai,Bengaluru,980,Industrial Goods,1.5,20,urgent
C20392,Mumbai,Ahmedabad,530,Furniture,0.78,7,normal
C20393,Delhi,Bengaluru,2150,Pharma,0.43,0,normal
C20394,Ahmedabad,Mumbai,530,E-commerce Parcels,1.14,11,normal
C20395,Jaipur,Delhi,280,Industrial Goods,2.83,9,normal
C20396,Lucknow,Delhi,550,Furniture,2.35,14,normal
C20397,Delhi,Jaipur,280,Industrial Goods,0.7,18,same_day
C20398,Mumbai,Delhi,1400,FMCG,0.21,20,normal
C20399,Bengaluru,Mumbai,980,Textiles,0.44,6,normal
C20400,Mumbai,Pune,150,Textiles,0.2,10,normal
C20401,Bhubaneswar,Kolkata,440,Electronics,5.06,4,same_day
C20402,Jaipur,Delhi,280,Industrial Goods,0.21,6,normal
C20403,Mumbai,Pune,150,Auto Parts,1.54,18,same_day
C20404,Hyderabad,Bengaluru,570,E-commerce Parcels,0.8,14,normal
C20405,Bengaluru,Mumbai,980,Auto Parts,0.73,9,normal
C20406,Delhi,Lucknow,550,E-commerce Parcels,3.2,7,normal
C20407,Delhi,Jaipur,280,Pharma,1.66,21,normal
C20408,Chennai,Bengaluru,350,Electronics,0.67,10,same_day
